date,open,high,low,close,volume,amount
2026-04-21,26658.8535,26730.6367,26405.2969,26479.4707,1103806703,0
2026-04-22,26715.9238,26942.1328,26662.875,26937.2754,1066880122,0
2026-04-23,26844.6133,27007.8711,26540.3242,26782.625,1251975754,0
2026-04-24,27082.416,27314.2148,26986.3906,27303.666,1520908906,0
2026-04-27,27278.2754,27315.2324,27158.875,27305.6777,1272315321,0
2026-04-28,26988.7695,27115.7656,26877.5918,27029.0117,1180150013,0
2026-04-29,27069.3633,27199.7246,26995.3809,27186.9844,1275339472,0
2026-04-30,27328.9863,27488.0312,27029.4102,27452.1191,1553042600,0
2026-05-01,27508.5723,27787.123,27501.4316,27710.3574,1192908644,0
2026-05-04,27731.3418,27822.3711,27504.0918,27651.8184,1098766752,0
2026-05-05,27895.0547,28065.6328,27844.2324,28015.0605,1325745470,0
2026-05-06,28234.0215,28608.6758,28208.2324,28599.1719,1424607697,0
2026-05-07,28612.5371,28825.5195,28440.0488,28563.9473,1338683579,0
2026-05-08,28768.1191,29234.9941,28751.2148,29234.9941,1143242202,0
2026-05-11,29185.8281,29372.4316,29143.1973,29320.6562,1388359072,0
2026-05-12,29067.3574,29188.0684,28628.6406,29064.7988,1328007861,0
2026-05-13,29159.9473,29452.2559,28968.5547,29366.9434,1062788395,0
2026-05-14,29372.6523,29678.8926,29350.0996,29580.2988,1020929655,0
2026-05-15,29191.3613,29387.4414,28991.4238,29125.1992,1302548324,0
2026-05-18,29246.1973,29250.1445,28717.5684,28994.3691,1025998228,0
2026-05-19,28795.0176,29031.918,28567.1621,28818.8438,1017671209,0
2026-05-20,29006.5703,29301.2793,28919.4414,29297.6973,1208557022,0
2026-05-21,29150.1309,29463.4941,29040.0391,29357.2715,1022860600,0
2026-05-22,29476.2891,29663.8906,29423.6328,29481.6426,931855895,0
2026-05-26,29854.582,30044.4902,29753.0859,30001.3184,1269780184,0
2026-05-27,30081.2773,30099.7949,29808.8867,29973.5723,1249542992,0
2026-05-28,30030.625,30263.1914,29848.7559,30223.8887,1203901073,0
2026-05-29,30333.8633,30470.0332,30210.0059,30333.1797,1824561066,0
2026-06-01,30295.2461,30633.5469,30241.1953,30513.8613,1406948268,0
2026-06-02,30471.6133,30670.1094,30372.957,30660.6016,1380871003,0
2026-06-03,30730.1055,30762.1992,30441.8047,30571.2363,1211512822,0
2026-06-04,30174.5879,30541.4316,30092.2344,30407.8105,1333729449,0
2026-06-05,29992.3691,30051.0801,28929.8848,28957.5996,1687829379,0
2026-06-08,29482.1934,29697.8984,29294.0195,29414.2578,1061960441,0
2026-06-09,29647.3457,29805.2988,28196.9023,29084.5,1473374984,0
2026-06-10,28893.8242,29212.3828,28462.916,28508.0273,1218900389,0
2026-06-11,28731.1582,29506.6738,28548.498,29446.1758,1394977173,0
2026-06-12,29380.6758,29733.8867,29220.832,29635.9473,1186487203,0
2026-06-15,30289.9668,30587.1582,30285.6309,30543.918,1311956880,0
2026-06-16,30455.4863,30560.0762,29962.873,29968.1289,1241721722,0
2026-06-17,30160.7422,30208.9434,29604.9336,29670.9473,1261957291,0
